artist,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,year
Young M.A,BIG,0.86,0.507,0,-5.776,0,0.369,0.0408,6.15e-06,0.14,0.15,85.005,audio_features,7cyeGclH71MayOuQ7qtLFl,spotify:track:7cyeGclH71MayOuQ7qtLFl,https://api.spotify.com/v1/tracks/7cyeGclH71MayOuQ7qtLFl,https://api.spotify.com/v1/audio-analysis/7cyeGclH71MayOuQ7qtLFl,225920,4,2019
Yung Gravy,Alley Oop,0.857,0.503,6,-7.502,1,0.265,0.266,0.0,0.0852,0.867,122.036,audio_features,38nyi6J4H44dXpf0PE3bWE,spotify:track:38nyi6J4H44dXpf0PE3bWE,https://api.spotify.com/v1/tracks/38nyi6J4H44dXpf0PE3bWE,https://api.spotify.com/v1/audio-analysis/38nyi6J4H44dXpf0PE3bWE,152187,4,2019
Future,Crushed Up,0.781,0.597,10,-6.794,0,0.23,0.0415,0.0,0.152,0.544,158.043,audio_features,7wcyO1rrH3Ru4t659IjG41,spotify:track:7wcyO1rrH3Ru4t659IjG41,https://api.spotify.com/v1/tracks/7wcyO1rrH3Ru4t659IjG41,https://api.spotify.com/v1/audio-analysis/7wcyO1rrH3Ru4t659IjG41,149949,4,2019
Cordae,Have Mercy,0.794,0.44,0,-7.861,0,0.131,0.0806,0.0,0.198,0.276,138.024,audio_features,0GwYkXgQdqY4dyRffHw3HT,spotify:track:0GwYkXgQdqY4dyRffHw3HT,https://api.spotify.com/v1/tracks/0GwYkXgQdqY4dyRffHw3HT,https://api.spotify.com/v1/audio-analysis/0GwYkXgQdqY4dyRffHw3HT,202454,4,2019
J. Cole,MIDDLE CHILD,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,audio_features,2JvzF1RMd7lE3KmFlsyZD8,spotify:track:2JvzF1RMd7lE3KmFlsyZD8,https://api.spotify.com/v1/tracks/2JvzF1RMd7lE3KmFlsyZD8,https://api.spotify.com/v1/audio-analysis/2JvzF1RMd7lE3KmFlsyZD8,213594,4,2019
Big Sean,Single Again,0.635,0.677,10,-5.548,1,0.0909,0.161,0.0,0.154,0.253,94.95,audio_features,7IP0lO9tHfNwBWZ9X6TJ84,spotify:track:7IP0lO9tHfNwBWZ9X6TJ84,https://api.spotify.com/v1/tracks/7IP0lO9tHfNwBWZ9X6TJ84,https://api.spotify.com/v1/audio-analysis/7IP0lO9tHfNwBWZ9X6TJ84,213733,4,2019
Kelsea Ballerini,homecoming queen?,0.462,0.512,9,-5.443,1,0.0334,0.478,0.0,0.0993,0.29,114.014,audio_features,1s71G3V7XQaVo5IOR6gLbp,spotify:track:1s71G3V7XQaVo5IOR6gLbp,https://api.spotify.com/v1/tracks/1s71G3V7XQaVo5IOR6gLbp,https://api.spotify.com/v1/audio-analysis/1s71G3V7XQaVo5IOR6gLbp,167796,4,2019
ScHoolboy Q,Floating (feat. 21 Savage),0.906,0.545,11,-4.977,0,0.344,0.181,0.0,0.091,0.543,139.932,audio_features,4NN6N5TxBO5k9uqu0W4gfQ,spotify:track:4NN6N5TxBO5k9uqu0W4gfQ,https://api.spotify.com/v1/tracks/4NN6N5TxBO5k9uqu0W4gfQ,https://api.spotify.com/v1/audio-analysis/4NN6N5TxBO5k9uqu0W4gfQ,186827,4,2019
Miranda Lambert,It All Comes Out in the Wash,0.602,0.73,0,-4.925,1,0.0313,0.00106,0.000116,0.095,0.923,164.029,audio_features,41FLEFSeRCv19OBn0vLiaH,spotify:track:41FLEFSeRCv19OBn0vLiaH,https://api.spotify.com/v1/tracks/41FLEFSeRCv19OBn0vLiaH,https://api.spotify.com/v1/audio-analysis/41FLEFSeRCv19OBn0vLiaH,214787,4,2019
Yella Beezy,Bacc at it Again,0.948,0.623,8,-5.725,0,0.168,0.00124,1.07e-06,0.0716,0.856,135.979,audio_features,3D2GXvlAANtK2vqplRZNxr,spotify:track:3D2GXvlAANtK2vqplRZNxr,https://api.spotify.com/v1/tracks/3D2GXvlAANtK2vqplRZNxr,https://api.spotify.com/v1/audio-analysis/3D2GXvlAANtK2vqplRZNxr,228186,4,2019
Bryce Vine,La La Land (feat. YG),0.774,0.473,1,-5.122,0,0.0569,0.221,0.0,0.222,0.416,97.953,audio_features,4oM9DGUTrRaXJDypxxHztZ,spotify:track:4oM9DGUTrRaXJDypxxHztZ,https://api.spotify.com/v1/tracks/4oM9DGUTrRaXJDypxxHztZ,https://api.spotify.com/v1/audio-analysis/4oM9DGUTrRaXJDypxxHztZ,177253,4,2019
Offset,Clout (feat. Cardi B),0.919,0.622,1,-7.384,1,0.0997,0.228,4.24e-06,0.122,0.424,140.022,audio_features,59ywHNwwchG4nZJMLyxSzd,spotify:track:59ywHNwwchG4nZJMLyxSzd,https://api.spotify.com/v1/tracks/59ywHNwwchG4nZJMLyxSzd,https://api.spotify.com/v1/audio-analysis/59ywHNwwchG4nZJMLyxSzd,205803,4,2019
Still Woozy,Habit,0.767,0.392,1,-11.996,1,0.0945,0.154,0.000398,0.108,0.48,125.017,audio_features,4BsLwvaJOTOHDNg7xMpvrL,spotify:track:4BsLwvaJOTOHDNg7xMpvrL,https://api.spotify.com/v1/tracks/4BsLwvaJOTOHDNg7xMpvrL,https://api.spotify.com/v1/audio-analysis/4BsLwvaJOTOHDNg7xMpvrL,153872,4,2019
Riley Green,I Wish Grandpas Never Died,0.445,0.492,6,-5.717,1,0.0294,0.036,0.0,0.122,0.24,148.013,audio_features,7Dxes6VnfbZYV0S2QTnVuT,spotify:track:7Dxes6VnfbZYV0S2QTnVuT,https://api.spotify.com/v1/tracks/7Dxes6VnfbZYV0S2QTnVuT,https://api.spotify.com/v1/audio-analysis/7Dxes6VnfbZYV0S2QTnVuT,250413,4,2019
2 Chainz,Whip (feat. Travis Scott),0.793,0.399,7,-7.428,1,0.0951,0.12,0.0,0.124,0.0379,121.949,audio_features,6Z4rmc0uujCpl8yXe3yjgI,spotify:track:6Z4rmc0uujCpl8yXe3yjgI,https://api.spotify.com/v1/tracks/6Z4rmc0uujCpl8yXe3yjgI,https://api.spotify.com/v1/audio-analysis/6Z4rmc0uujCpl8yXe3yjgI,226600,4,2019
03 Greedo,Trap House (feat. Shoreline Mafia),0.737,0.482,1,-5.845,0,0.036,0.115,0.0,0.0873,0.26,97.469,audio_features,6ZxX2vmH5WLufcOqenLjfb,spotify:track:6ZxX2vmH5WLufcOqenLjfb,https://api.spotify.com/v1/tracks/6ZxX2vmH5WLufcOqenLjfb,https://api.spotify.com/v1/audio-analysis/6ZxX2vmH5WLufcOqenLjfb,221396,4,2019
Lil Mosey,Stuck In A Dream (feat. Gunna),0.748,0.648,10,-6.445,0,0.0816,0.484,0.0,0.126,0.726,139.952,audio_features,7iHHxY2NLlJRAmlAmC4ahQ,spotify:track:7iHHxY2NLlJRAmlAmC4ahQ,https://api.spotify.com/v1/tracks/7iHHxY2NLlJRAmlAmC4ahQ,https://api.spotify.com/v1/audio-analysis/7iHHxY2NLlJRAmlAmC4ahQ,123560,4,2019
Jhené Aiko,Triggered (freestyle),0.471,0.411,0,-9.5,1,0.295,0.81,0.0,0.135,0.363,89.484,audio_features,3PAptX72PPmjj1Igms0zjo,spotify:track:3PAptX72PPmjj1Igms0zjo,https://api.spotify.com/v1/tracks/3PAptX72PPmjj1Igms0zjo,https://api.spotify.com/v1/audio-analysis/3PAptX72PPmjj1Igms0zjo,211227,1,2019
Jason Aldean,We Back,0.433,0.928,4,-5.117,0,0.0512,0.0135,2.01e-06,0.32,0.552,155.938,audio_features,6UL2RC5J2vMau9KOMKQfJg,spotify:track:6UL2RC5J2vMau9KOMKQfJg,https://api.spotify.com/v1/tracks/6UL2RC5J2vMau9KOMKQfJg,https://api.spotify.com/v1/audio-analysis/6UL2RC5J2vMau9KOMKQfJg,197160,4,2019
